direction,query_id,query,positive_id,positive_rank_seed42,positive_item,ranks_all_seeds,top10_seed42,retrieved_items_seed42,predeclared_categories
t2i,16469::caption_3,A woman wearing a yellow helmet is using a zipline.,16469,129,"{""image_id"": ""16469"", ""image_path"": ""data/flickr30k/validation_images/16469.jpg""}","{""42.0"": 129, ""43.0"": 168, ""44.0"": 106}","[""19253"", ""21091"", ""29745"", ""26923"", ""23998"", ""6767"", ""14918"", ""27717"", ""25205"", ""27643""]","[{""image_id"": ""19253"", ""image_path"": ""data/flickr30k/validation_images/19253.jpg""}, {""image_id"": ""21091"", ""image_path"": ""data/flickr30k/validation_images/21091.jpg""}, {""image_id"": ""29745"", ""image_path"": ""data/flickr30k/validation_images/29745.jpg""}, {""image_id"": ""26923"", ""image_path"": ""data/flickr30k/validation_images/26923.jpg""}, {""image_id"": ""23998"", ""image_path"": ""data/flickr30k/validation_images/23998.jpg""}, {""image_id"": ""6767"", ""image_path"": ""data/flickr30k/validation_images/6767.jpg""}, {""image_id"": ""14918"", ""image_path"": ""data/flickr30k/validation_images/14918.jpg""}, {""image_id"": ""27717"", ""image_path"": ""data/flickr30k/validation_images/27717.jpg""}, {""image_id"": ""25205"", ""image_path"": ""data/flickr30k/validation_images/25205.jpg""}, {""image_id"": ""27643"", ""image_path"": ""data/flickr30k/validation_images/27643.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,15994::caption_2,A man in a blue polo stares into space.,15994,26,"{""image_id"": ""15994"", ""image_path"": ""data/flickr30k/validation_images/15994.jpg""}","{""42.0"": 26, ""43.0"": 64, ""44.0"": 30}","[""24885"", ""21653"", ""19652"", ""25295"", ""2283"", ""15610"", ""2006"", ""9496"", ""30149"", ""1102""]","[{""image_id"": ""24885"", ""image_path"": ""data/flickr30k/validation_images/24885.jpg""}, {""image_id"": ""21653"", ""image_path"": ""data/flickr30k/validation_images/21653.jpg""}, {""image_id"": ""19652"", ""image_path"": ""data/flickr30k/validation_images/19652.jpg""}, {""image_id"": ""25295"", ""image_path"": ""data/flickr30k/validation_images/25295.jpg""}, {""image_id"": ""2283"", ""image_path"": ""data/flickr30k/validation_images/2283.jpg""}, {""image_id"": ""15610"", ""image_path"": ""data/flickr30k/validation_images/15610.jpg""}, {""image_id"": ""2006"", ""image_path"": ""data/flickr30k/validation_images/2006.jpg""}, {""image_id"": ""9496"", ""image_path"": ""data/flickr30k/validation_images/9496.jpg""}, {""image_id"": ""30149"", ""image_path"": ""data/flickr30k/validation_images/30149.jpg""}, {""image_id"": ""1102"", ""image_path"": ""data/flickr30k/validation_images/1102.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,12075::caption_2,Two kids underneath a sheet playing with a white dog.,12075,30,"{""image_id"": ""12075"", ""image_path"": ""data/flickr30k/validation_images/12075.jpg""}","{""42.0"": 30, ""43.0"": 14, ""44.0"": 53}","[""13861"", ""2179"", ""1727"", ""28087"", ""610"", ""11539"", ""17337"", ""12931"", ""1209"", ""26019""]","[{""image_id"": ""13861"", ""image_path"": ""data/flickr30k/validation_images/13861.jpg""}, {""image_id"": ""2179"", ""image_path"": ""data/flickr30k/validation_images/2179.jpg""}, {""image_id"": ""1727"", ""image_path"": ""data/flickr30k/validation_images/1727.jpg""}, {""image_id"": ""28087"", ""image_path"": ""data/flickr30k/validation_images/28087.jpg""}, {""image_id"": ""610"", ""image_path"": ""data/flickr30k/validation_images/610.jpg""}, {""image_id"": ""11539"", ""image_path"": ""data/flickr30k/validation_images/11539.jpg""}, {""image_id"": ""17337"", ""image_path"": ""data/flickr30k/validation_images/17337.jpg""}, {""image_id"": ""12931"", ""image_path"": ""data/flickr30k/validation_images/12931.jpg""}, {""image_id"": ""1209"", ""image_path"": ""data/flickr30k/validation_images/1209.jpg""}, {""image_id"": ""26019"", ""image_path"": ""data/flickr30k/validation_images/26019.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,28721::caption_4,A kid juggling balls in the middle of traffic.,28721,36,"{""image_id"": ""28721"", ""image_path"": ""data/flickr30k/validation_images/28721.jpg""}","{""42.0"": 36, ""43.0"": 33, ""44.0"": 15}","[""3529"", ""5300"", ""10810"", ""15574"", ""15693"", ""18024"", ""10530"", ""29887"", ""23721"", ""11838""]","[{""image_id"": ""3529"", ""image_path"": ""data/flickr30k/validation_images/3529.jpg""}, {""image_id"": ""5300"", ""image_path"": ""data/flickr30k/validation_images/5300.jpg""}, {""image_id"": ""10810"", ""image_path"": ""data/flickr30k/validation_images/10810.jpg""}, {""image_id"": ""15574"", ""image_path"": ""data/flickr30k/validation_images/15574.jpg""}, {""image_id"": ""15693"", ""image_path"": ""data/flickr30k/validation_images/15693.jpg""}, {""image_id"": ""18024"", ""image_path"": ""data/flickr30k/validation_images/18024.jpg""}, {""image_id"": ""10530"", ""image_path"": ""data/flickr30k/validation_images/10530.jpg""}, {""image_id"": ""29887"", ""image_path"": ""data/flickr30k/validation_images/29887.jpg""}, {""image_id"": ""23721"", ""image_path"": ""data/flickr30k/validation_images/23721.jpg""}, {""image_id"": ""11838"", ""image_path"": ""data/flickr30k/validation_images/11838.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,25731::caption_1,Two boys are participating in a boxing match.,25731,69,"{""image_id"": ""25731"", ""image_path"": ""data/flickr30k/validation_images/25731.jpg""}","{""42.0"": 69, ""43.0"": 67, ""44.0"": 16}","[""17598"", ""28087"", ""18956"", ""6049"", ""29105"", ""17095"", ""6377"", ""30177"", ""28292"", ""20439""]","[{""image_id"": ""17598"", ""image_path"": ""data/flickr30k/validation_images/17598.jpg""}, {""image_id"": ""28087"", ""image_path"": ""data/flickr30k/validation_images/28087.jpg""}, {""image_id"": ""18956"", ""image_path"": ""data/flickr30k/validation_images/18956.jpg""}, {""image_id"": ""6049"", ""image_path"": ""data/flickr30k/validation_images/6049.jpg""}, {""image_id"": ""29105"", ""image_path"": ""data/flickr30k/validation_images/29105.jpg""}, {""image_id"": ""17095"", ""image_path"": ""data/flickr30k/validation_images/17095.jpg""}, {""image_id"": ""6377"", ""image_path"": ""data/flickr30k/validation_images/6377.jpg""}, {""image_id"": ""30177"", ""image_path"": ""data/flickr30k/validation_images/30177.jpg""}, {""image_id"": ""28292"", ""image_path"": ""data/flickr30k/validation_images/28292.jpg""}, {""image_id"": ""20439"", ""image_path"": ""data/flickr30k/validation_images/20439.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,14275::caption_3,A photographer taking a photo of a message on a set of doors.,14275,109,"{""image_id"": ""14275"", ""image_path"": ""data/flickr30k/validation_images/14275.jpg""}","{""42.0"": 109, ""43.0"": 386, ""44.0"": 222}","[""18905"", ""24808"", ""22291"", ""1943"", ""26811"", ""14247"", ""26841"", ""21371"", ""18126"", ""16394""]","[{""image_id"": ""18905"", ""image_path"": ""data/flickr30k/validation_images/18905.jpg""}, {""image_id"": ""24808"", ""image_path"": ""data/flickr30k/validation_images/24808.jpg""}, {""image_id"": ""22291"", ""image_path"": ""data/flickr30k/validation_images/22291.jpg""}, {""image_id"": ""1943"", ""image_path"": ""data/flickr30k/validation_images/1943.jpg""}, {""image_id"": ""26811"", ""image_path"": ""data/flickr30k/validation_images/26811.jpg""}, {""image_id"": ""14247"", ""image_path"": ""data/flickr30k/validation_images/14247.jpg""}, {""image_id"": ""26841"", ""image_path"": ""data/flickr30k/validation_images/26841.jpg""}, {""image_id"": ""21371"", ""image_path"": ""data/flickr30k/validation_images/21371.jpg""}, {""image_id"": ""18126"", ""image_path"": ""data/flickr30k/validation_images/18126.jpg""}, {""image_id"": ""16394"", ""image_path"": ""data/flickr30k/validation_images/16394.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,26609::caption_1,A man moving flowers while a woman makes a gesture at him.,26609,34,"{""image_id"": ""26609"", ""image_path"": ""data/flickr30k/validation_images/26609.jpg""}","{""42.0"": 34, ""43.0"": 32, ""44.0"": 46}","[""10363"", ""10364"", ""25165"", ""8238"", ""21484"", ""9079"", ""28787"", ""22642"", ""6151"", ""4141""]","[{""image_id"": ""10363"", ""image_path"": ""data/flickr30k/validation_images/10363.jpg""}, {""image_id"": ""10364"", ""image_path"": ""data/flickr30k/validation_images/10364.jpg""}, {""image_id"": ""25165"", ""image_path"": ""data/flickr30k/validation_images/25165.jpg""}, {""image_id"": ""8238"", ""image_path"": ""data/flickr30k/validation_images/8238.jpg""}, {""image_id"": ""21484"", ""image_path"": ""data/flickr30k/validation_images/21484.jpg""}, {""image_id"": ""9079"", ""image_path"": ""data/flickr30k/validation_images/9079.jpg""}, {""image_id"": ""28787"", ""image_path"": ""data/flickr30k/validation_images/28787.jpg""}, {""image_id"": ""22642"", ""image_path"": ""data/flickr30k/validation_images/22642.jpg""}, {""image_id"": ""6151"", ""image_path"": ""data/flickr30k/validation_images/6151.jpg""}, {""image_id"": ""4141"", ""image_path"": ""data/flickr30k/validation_images/4141.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,5553::caption_2,Two couples stop to take a photo.,5553,93,"{""image_id"": ""5553"", ""image_path"": ""data/flickr30k/validation_images/5553.jpg""}","{""42.0"": 93, ""43.0"": 158, ""44.0"": 67}","[""10932"", ""22736"", ""8238"", ""24568"", ""8339"", ""10244"", ""7723"", ""21482"", ""20478"", ""390""]","[{""image_id"": ""10932"", ""image_path"": ""data/flickr30k/validation_images/10932.jpg""}, {""image_id"": ""22736"", ""image_path"": ""data/flickr30k/validation_images/22736.jpg""}, {""image_id"": ""8238"", ""image_path"": ""data/flickr30k/validation_images/8238.jpg""}, {""image_id"": ""24568"", ""image_path"": ""data/flickr30k/validation_images/24568.jpg""}, {""image_id"": ""8339"", ""image_path"": ""data/flickr30k/validation_images/8339.jpg""}, {""image_id"": ""10244"", ""image_path"": ""data/flickr30k/validation_images/10244.jpg""}, {""image_id"": ""7723"", ""image_path"": ""data/flickr30k/validation_images/7723.jpg""}, {""image_id"": ""21482"", ""image_path"": ""data/flickr30k/validation_images/21482.jpg""}, {""image_id"": ""20478"", ""image_path"": ""data/flickr30k/validation_images/20478.jpg""}, {""image_id"": ""390"", ""image_path"": ""data/flickr30k/validation_images/390.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,20711::caption_3,A woman sitting on a public bench.,20711,30,"{""image_id"": ""20711"", ""image_path"": ""data/flickr30k/validation_images/20711.jpg""}","{""42.0"": 30, ""43.0"": 13, ""44.0"": 22}","[""25007"", ""24490"", ""25226"", ""10449"", ""1382"", ""22216"", ""22889"", ""377"", ""20402"", ""20146""]","[{""image_id"": ""25007"", ""image_path"": ""data/flickr30k/validation_images/25007.jpg""}, {""image_id"": ""24490"", ""image_path"": ""data/flickr30k/validation_images/24490.jpg""}, {""image_id"": ""25226"", ""image_path"": ""data/flickr30k/validation_images/25226.jpg""}, {""image_id"": ""10449"", ""image_path"": ""data/flickr30k/validation_images/10449.jpg""}, {""image_id"": ""1382"", ""image_path"": ""data/flickr30k/validation_images/1382.jpg""}, {""image_id"": ""22216"", ""image_path"": ""data/flickr30k/validation_images/22216.jpg""}, {""image_id"": ""22889"", ""image_path"": ""data/flickr30k/validation_images/22889.jpg""}, {""image_id"": ""377"", ""image_path"": ""data/flickr30k/validation_images/377.jpg""}, {""image_id"": ""20402"", ""image_path"": ""data/flickr30k/validation_images/20402.jpg""}, {""image_id"": ""20146"", ""image_path"": ""data/flickr30k/validation_images/20146.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,30149::caption_2,"A man starts walking towards a bowling lane, appearing to be winding up for a bowl.",30149,14,"{""image_id"": ""30149"", ""image_path"": ""data/flickr30k/validation_images/30149.jpg""}","{""42.0"": 14, ""43.0"": 15, ""44.0"": 18}","[""5224"", ""7376"", ""1102"", ""19875"", ""27001"", ""6582"", ""10741"", ""15994"", ""29272"", ""21687""]","[{""image_id"": ""5224"", ""image_path"": ""data/flickr30k/validation_images/5224.jpg""}, {""image_id"": ""7376"", ""image_path"": ""data/flickr30k/validation_images/7376.jpg""}, {""image_id"": ""1102"", ""image_path"": ""data/flickr30k/validation_images/1102.jpg""}, {""image_id"": ""19875"", ""image_path"": ""data/flickr30k/validation_images/19875.jpg""}, {""image_id"": ""27001"", ""image_path"": ""data/flickr30k/validation_images/27001.jpg""}, {""image_id"": ""6582"", ""image_path"": ""data/flickr30k/validation_images/6582.jpg""}, {""image_id"": ""10741"", ""image_path"": ""data/flickr30k/validation_images/10741.jpg""}, {""image_id"": ""15994"", ""image_path"": ""data/flickr30k/validation_images/15994.jpg""}, {""image_id"": ""29272"", ""image_path"": ""data/flickr30k/validation_images/29272.jpg""}, {""image_id"": ""21687"", ""image_path"": ""data/flickr30k/validation_images/21687.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,4054::caption_1,A man wearing a sleeveless shirt and sunglasses standing next to two children.,4054,12,"{""image_id"": ""4054"", ""image_path"": ""data/flickr30k/validation_images/4054.jpg""}","{""42.0"": 12, ""43.0"": 22, ""44.0"": 11}","[""6582"", ""29272"", ""16134"", ""5576"", ""23882"", ""22477"", ""7317"", ""3529"", ""15582"", ""16412""]","[{""image_id"": ""6582"", ""image_path"": ""data/flickr30k/validation_images/6582.jpg""}, {""image_id"": ""29272"", ""image_path"": ""data/flickr30k/validation_images/29272.jpg""}, {""image_id"": ""16134"", ""image_path"": ""data/flickr30k/validation_images/16134.jpg""}, {""image_id"": ""5576"", ""image_path"": ""data/flickr30k/validation_images/5576.jpg""}, {""image_id"": ""23882"", ""image_path"": ""data/flickr30k/validation_images/23882.jpg""}, {""image_id"": ""22477"", ""image_path"": ""data/flickr30k/validation_images/22477.jpg""}, {""image_id"": ""7317"", ""image_path"": ""data/flickr30k/validation_images/7317.jpg""}, {""image_id"": ""3529"", ""image_path"": ""data/flickr30k/validation_images/3529.jpg""}, {""image_id"": ""15582"", ""image_path"": ""data/flickr30k/validation_images/15582.jpg""}, {""image_id"": ""16412"", ""image_path"": ""data/flickr30k/validation_images/16412.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,301::caption_3,A lady is sitting down tending to her stand.,301,133,"{""image_id"": ""301"", ""image_path"": ""data/flickr30k/validation_images/301.jpg""}","{""42.0"": 133, ""43.0"": 52, ""44.0"": 38}","[""26841"", ""4768"", ""16632"", ""18905"", ""10449"", ""22916"", ""25007"", ""24045"", ""17592"", ""22889""]","[{""image_id"": ""26841"", ""image_path"": ""data/flickr30k/validation_images/26841.jpg""}, {""image_id"": ""4768"", ""image_path"": ""data/flickr30k/validation_images/4768.jpg""}, {""image_id"": ""16632"", ""image_path"": ""data/flickr30k/validation_images/16632.jpg""}, {""image_id"": ""18905"", ""image_path"": ""data/flickr30k/validation_images/18905.jpg""}, {""image_id"": ""10449"", ""image_path"": ""data/flickr30k/validation_images/10449.jpg""}, {""image_id"": ""22916"", ""image_path"": ""data/flickr30k/validation_images/22916.jpg""}, {""image_id"": ""25007"", ""image_path"": ""data/flickr30k/validation_images/25007.jpg""}, {""image_id"": ""24045"", ""image_path"": ""data/flickr30k/validation_images/24045.jpg""}, {""image_id"": ""17592"", ""image_path"": ""data/flickr30k/validation_images/17592.jpg""}, {""image_id"": ""22889"", ""image_path"": ""data/flickr30k/validation_images/22889.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,4141::caption_4,Two women are smiling at an event.,4141,132,"{""image_id"": ""4141"", ""image_path"": ""data/flickr30k/validation_images/4141.jpg""}","{""42.0"": 132, ""43.0"": 50, ""44.0"": 36}","[""22639"", ""9174"", ""10436"", ""11541"", ""20284"", ""10244"", ""5162"", ""3115"", ""390"", ""20478""]","[{""image_id"": ""22639"", ""image_path"": ""data/flickr30k/validation_images/22639.jpg""}, {""image_id"": ""9174"", ""image_path"": ""data/flickr30k/validation_images/9174.jpg""}, {""image_id"": ""10436"", ""image_path"": ""data/flickr30k/validation_images/10436.jpg""}, {""image_id"": ""11541"", ""image_path"": ""data/flickr30k/validation_images/11541.jpg""}, {""image_id"": ""20284"", ""image_path"": ""data/flickr30k/validation_images/20284.jpg""}, {""image_id"": ""10244"", ""image_path"": ""data/flickr30k/validation_images/10244.jpg""}, {""image_id"": ""5162"", ""image_path"": ""data/flickr30k/validation_images/5162.jpg""}, {""image_id"": ""3115"", ""image_path"": ""data/flickr30k/validation_images/3115.jpg""}, {""image_id"": ""390"", ""image_path"": ""data/flickr30k/validation_images/390.jpg""}, {""image_id"": ""20478"", ""image_path"": ""data/flickr30k/validation_images/20478.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,28121::caption_2,These young people appear to be singing and doing some dance steps outdoors.,28121,89,"{""image_id"": ""28121"", ""image_path"": ""data/flickr30k/validation_images/28121.jpg""}","{""42.0"": 89, ""43.0"": 75, ""44.0"": 54}","[""23283"", ""14836"", ""30177"", ""9907"", ""10497"", ""7723"", ""28126"", ""25199"", ""23998"", ""19688""]","[{""image_id"": ""23283"", ""image_path"": ""data/flickr30k/validation_images/23283.jpg""}, {""image_id"": ""14836"", ""image_path"": ""data/flickr30k/validation_images/14836.jpg""}, {""image_id"": ""30177"", ""image_path"": ""data/flickr30k/validation_images/30177.jpg""}, {""image_id"": ""9907"", ""image_path"": ""data/flickr30k/validation_images/9907.jpg""}, {""image_id"": ""10497"", ""image_path"": ""data/flickr30k/validation_images/10497.jpg""}, {""image_id"": ""7723"", ""image_path"": ""data/flickr30k/validation_images/7723.jpg""}, {""image_id"": ""28126"", ""image_path"": ""data/flickr30k/validation_images/28126.jpg""}, {""image_id"": ""25199"", ""image_path"": ""data/flickr30k/validation_images/25199.jpg""}, {""image_id"": ""23998"", ""image_path"": ""data/flickr30k/validation_images/23998.jpg""}, {""image_id"": ""19688"", ""image_path"": ""data/flickr30k/validation_images/19688.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,19558::caption_0,A boy wearing a green shirt on a bicycle reflecting off a store window.,19558,36,"{""image_id"": ""19558"", ""image_path"": ""data/flickr30k/validation_images/19558.jpg""}","{""42.0"": 36, ""43.0"": 12, ""44.0"": 31}","[""24755"", ""29745"", ""21678"", ""11960"", ""10219"", ""12449"", ""27732"", ""22738"", ""17749"", ""1616""]","[{""image_id"": ""24755"", ""image_path"": ""data/flickr30k/validation_images/24755.jpg""}, {""image_id"": ""29745"", ""image_path"": ""data/flickr30k/validation_images/29745.jpg""}, {""image_id"": ""21678"", ""image_path"": ""data/flickr30k/validation_images/21678.jpg""}, {""image_id"": ""11960"", ""image_path"": ""data/flickr30k/validation_images/11960.jpg""}, {""image_id"": ""10219"", ""image_path"": ""data/flickr30k/validation_images/10219.jpg""}, {""image_id"": ""12449"", ""image_path"": ""data/flickr30k/validation_images/12449.jpg""}, {""image_id"": ""27732"", ""image_path"": ""data/flickr30k/validation_images/27732.jpg""}, {""image_id"": ""22738"", ""image_path"": ""data/flickr30k/validation_images/22738.jpg""}, {""image_id"": ""17749"", ""image_path"": ""data/flickr30k/validation_images/17749.jpg""}, {""image_id"": ""1616"", ""image_path"": ""data/flickr30k/validation_images/1616.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,12399::caption_4,A man in a green jacket is smiling.,12399,48,"{""image_id"": ""12399"", ""image_path"": ""data/flickr30k/validation_images/12399.jpg""}","{""42.0"": 48, ""43.0"": 75, ""44.0"": 38}","[""10885"", ""6230"", ""7376"", ""10078"", ""23657"", ""9774"", ""6767"", ""15994"", ""16664"", ""2522""]","[{""image_id"": ""10885"", ""image_path"": ""data/flickr30k/validation_images/10885.jpg""}, {""image_id"": ""6230"", ""image_path"": ""data/flickr30k/validation_images/6230.jpg""}, {""image_id"": ""7376"", ""image_path"": ""data/flickr30k/validation_images/7376.jpg""}, {""image_id"": ""10078"", ""image_path"": ""data/flickr30k/validation_images/10078.jpg""}, {""image_id"": ""23657"", ""image_path"": ""data/flickr30k/validation_images/23657.jpg""}, {""image_id"": ""9774"", ""image_path"": ""data/flickr30k/validation_images/9774.jpg""}, {""image_id"": ""6767"", ""image_path"": ""data/flickr30k/validation_images/6767.jpg""}, {""image_id"": ""15994"", ""image_path"": ""data/flickr30k/validation_images/15994.jpg""}, {""image_id"": ""16664"", ""image_path"": ""data/flickr30k/validation_images/16664.jpg""}, {""image_id"": ""2522"", ""image_path"": ""data/flickr30k/validation_images/2522.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,24666::caption_4,A man seated on a bench on a sunny day.,24666,51,"{""image_id"": ""24666"", ""image_path"": ""data/flickr30k/validation_images/24666.jpg""}","{""42.0"": 51, ""43.0"": 52, ""44.0"": 34}","[""24925"", ""9496"", ""25007"", ""22772"", ""23745"", ""25226"", ""24877"", ""21671"", ""16552"", ""26756""]","[{""image_id"": ""24925"", ""image_path"": ""data/flickr30k/validation_images/24925.jpg""}, {""image_id"": ""9496"", ""image_path"": ""data/flickr30k/validation_images/9496.jpg""}, {""image_id"": ""25007"", ""image_path"": ""data/flickr30k/validation_images/25007.jpg""}, {""image_id"": ""22772"", ""image_path"": ""data/flickr30k/validation_images/22772.jpg""}, {""image_id"": ""23745"", ""image_path"": ""data/flickr30k/validation_images/23745.jpg""}, {""image_id"": ""25226"", ""image_path"": ""data/flickr30k/validation_images/25226.jpg""}, {""image_id"": ""24877"", ""image_path"": ""data/flickr30k/validation_images/24877.jpg""}, {""image_id"": ""21671"", ""image_path"": ""data/flickr30k/validation_images/21671.jpg""}, {""image_id"": ""16552"", ""image_path"": ""data/flickr30k/validation_images/16552.jpg""}, {""image_id"": ""26756"", ""image_path"": ""data/flickr30k/validation_images/26756.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,23968::caption_4,A couple with strollers walk through a market.,23968,21,"{""image_id"": ""23968"", ""image_path"": ""data/flickr30k/validation_images/23968.jpg""}","{""42.0"": 21, ""43.0"": 18, ""44.0"": 42}","[""16650"", ""20402"", ""301"", ""16175"", ""22916"", ""6143"", ""24251"", ""14842"", ""843"", ""19175""]","[{""image_id"": ""16650"", ""image_path"": ""data/flickr30k/validation_images/16650.jpg""}, {""image_id"": ""20402"", ""image_path"": ""data/flickr30k/validation_images/20402.jpg""}, {""image_id"": ""301"", ""image_path"": ""data/flickr30k/validation_images/301.jpg""}, {""image_id"": ""16175"", ""image_path"": ""data/flickr30k/validation_images/16175.jpg""}, {""image_id"": ""22916"", ""image_path"": ""data/flickr30k/validation_images/22916.jpg""}, {""image_id"": ""6143"", ""image_path"": ""data/flickr30k/validation_images/6143.jpg""}, {""image_id"": ""24251"", ""image_path"": ""data/flickr30k/validation_images/24251.jpg""}, {""image_id"": ""14842"", ""image_path"": ""data/flickr30k/validation_images/14842.jpg""}, {""image_id"": ""843"", ""image_path"": ""data/flickr30k/validation_images/843.jpg""}, {""image_id"": ""19175"", ""image_path"": ""data/flickr30k/validation_images/19175.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,17749::caption_2,The girl in the white dress is paying her bill at the counter.,17749,49,"{""image_id"": ""17749"", ""image_path"": ""data/flickr30k/validation_images/17749.jpg""}","{""42.0"": 49, ""43.0"": 25, ""44.0"": 50}","[""18440"", ""16933"", ""3180"", ""26335"", ""13332"", ""4641"", ""27357"", ""462"", ""1162"", ""19070""]","[{""image_id"": ""18440"", ""image_path"": ""data/flickr30k/validation_images/18440.jpg""}, {""image_id"": ""16933"", ""image_path"": ""data/flickr30k/validation_images/16933.jpg""}, {""image_id"": ""3180"", ""image_path"": ""data/flickr30k/validation_images/3180.jpg""}, {""image_id"": ""26335"", ""image_path"": ""data/flickr30k/validation_images/26335.jpg""}, {""image_id"": ""13332"", ""image_path"": ""data/flickr30k/validation_images/13332.jpg""}, {""image_id"": ""4641"", ""image_path"": ""data/flickr30k/validation_images/4641.jpg""}, {""image_id"": ""27357"", ""image_path"": ""data/flickr30k/validation_images/27357.jpg""}, {""image_id"": ""462"", ""image_path"": ""data/flickr30k/validation_images/462.jpg""}, {""image_id"": ""1162"", ""image_path"": ""data/flickr30k/validation_images/1162.jpg""}, {""image_id"": ""19070"", ""image_path"": ""data/flickr30k/validation_images/19070.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
