audit_id,query_caption,candidate_A,candidate_B,candidate_C,candidate_D,candidate_E,candidate_F,rubric_label_placeholder,human_notes
audit_010,"A man in jeans, working with cables on a desk.",data/flickr30k/validation_images/27171.jpg,data/flickr30k/validation_images/24395.jpg,data/flickr30k/validation_images/2388.jpg,data/flickr30k/validation_images/13895.jpg,data/flickr30k/validation_images/10014.jpg,,,
audit_011,A man in a tan shirt about to send a green bowling ball down the lane.,data/flickr30k/validation_images/26756.jpg,data/flickr30k/validation_images/1102.jpg,data/flickr30k/validation_images/23721.jpg,data/flickr30k/validation_images/5224.jpg,data/flickr30k/validation_images/23322.jpg,,,
audit_012,A black poodle jumping on the head of a white poodle while walking in the snow.,data/flickr30k/validation_images/11076.jpg,data/flickr30k/validation_images/17885.jpg,data/flickr30k/validation_images/3631.jpg,data/flickr30k/validation_images/12708.jpg,data/flickr30k/validation_images/4960.jpg,,,
audit_013,Several people gather around a blue car in Asia with a small toddler on the hood of the car.,data/flickr30k/validation_images/23785.jpg,data/flickr30k/validation_images/12993.jpg,data/flickr30k/validation_images/28721.jpg,data/flickr30k/validation_images/21260.jpg,data/flickr30k/validation_images/22477.jpg,,,
audit_014,Two young men in blue jeans and sneakers cross an urban street.,data/flickr30k/validation_images/6666.jpg,data/flickr30k/validation_images/25866.jpg,data/flickr30k/validation_images/22827.jpg,data/flickr30k/validation_images/21130.jpg,data/flickr30k/validation_images/16365.jpg,,,
audit_015,A man and a boy are outside playing with a dog in the evening.,data/flickr30k/validation_images/9154.jpg,data/flickr30k/validation_images/15795.jpg,data/flickr30k/validation_images/25077.jpg,data/flickr30k/validation_images/6171.jpg,data/flickr30k/validation_images/24307.jpg,,,
audit_016,Three young children stand around a blue and white barrel.,data/flickr30k/validation_images/9896.jpg,data/flickr30k/validation_images/10792.jpg,data/flickr30k/validation_images/293.jpg,data/flickr30k/validation_images/5515.jpg,data/flickr30k/validation_images/30385.jpg,,,
audit_017,A man in a red muscle shirt poses for a picture beside a stone building whilst other people pass by.,data/flickr30k/validation_images/24808.jpg,data/flickr30k/validation_images/25006.jpg,data/flickr30k/validation_images/25208.jpg,data/flickr30k/validation_images/4054.jpg,data/flickr30k/validation_images/12446.jpg,,,
audit_018,A man standing on the street with a large bag on his back and holding several shopping bags in his hands,data/flickr30k/validation_images/27606.jpg,data/flickr30k/validation_images/22872.jpg,data/flickr30k/validation_images/10557.jpg,data/flickr30k/validation_images/11244.jpg,data/flickr30k/validation_images/25205.jpg,,,
audit_019,A little girl happily jumping on a bed.,data/flickr30k/validation_images/10801.jpg,data/flickr30k/validation_images/24106.jpg,data/flickr30k/validation_images/28190.jpg,data/flickr30k/validation_images/15701.jpg,data/flickr30k/validation_images/14821.jpg,,,
audit_020,Three women run barefoot on the sand towards the water.,data/flickr30k/validation_images/21237.jpg,data/flickr30k/validation_images/10801.jpg,data/flickr30k/validation_images/14388.jpg,data/flickr30k/validation_images/30437.jpg,data/flickr30k/validation_images/30420.jpg,,,
audit_021,"A young baseball player wearing a yellow shirt and a blue helmet with ""T"" on it slides into home plate and the catcher, while teammate watch.",data/flickr30k/validation_images/27106.jpg,data/flickr30k/validation_images/14303.jpg,data/flickr30k/validation_images/20439.jpg,data/flickr30k/validation_images/19925.jpg,data/flickr30k/validation_images/12846.jpg,,,
audit_022,Three men are raking a path surrounded by trees.,data/flickr30k/validation_images/22477.jpg,data/flickr30k/validation_images/628.jpg,data/flickr30k/validation_images/23283.jpg,data/flickr30k/validation_images/5013.jpg,data/flickr30k/validation_images/7646.jpg,,,
audit_023,One man in a red shirt and another in a gray shirt walking down a courtyard.,data/flickr30k/validation_images/12483.jpg,data/flickr30k/validation_images/11208.jpg,data/flickr30k/validation_images/13943.jpg,data/flickr30k/validation_images/19688.jpg,data/flickr30k/validation_images/25866.jpg,,,
audit_024,The sun is setting behind a group of people.,data/flickr30k/validation_images/25142.jpg,data/flickr30k/validation_images/20129.jpg,data/flickr30k/validation_images/3979.jpg,data/flickr30k/validation_images/1145.jpg,data/flickr30k/validation_images/3085.jpg,,,
audit_025,A little girl stands in a puddle of water in the middle of the street.,data/flickr30k/validation_images/6992.jpg,data/flickr30k/validation_images/16709.jpg,data/flickr30k/validation_images/7330.jpg,data/flickr30k/validation_images/16208.jpg,data/flickr30k/validation_images/18916.jpg,,,
audit_026,Person in a long red coat walking in front of a building.,data/flickr30k/validation_images/22152.jpg,data/flickr30k/validation_images/9079.jpg,data/flickr30k/validation_images/12483.jpg,data/flickr30k/validation_images/462.jpg,data/flickr30k/validation_images/161.jpg,,,
audit_027,Two people crossing the street downtown.,data/flickr30k/validation_images/6666.jpg,data/flickr30k/validation_images/16365.jpg,data/flickr30k/validation_images/22872.jpg,data/flickr30k/validation_images/3203.jpg,data/flickr30k/validation_images/19743.jpg,,,
audit_028,Many people eating at a banquet.,data/flickr30k/validation_images/14887.jpg,data/flickr30k/validation_images/10982.jpg,data/flickr30k/validation_images/29095.jpg,data/flickr30k/validation_images/12984.jpg,data/flickr30k/validation_images/419.jpg,,,
audit_029,A brown dog carrying a stick.,data/flickr30k/validation_images/8107.jpg,data/flickr30k/validation_images/6089.jpg,data/flickr30k/validation_images/4053.jpg,data/flickr30k/validation_images/3096.jpg,data/flickr30k/validation_images/19824.jpg,,,
audit_030,A black and brown dog staring off into the distance at something,data/flickr30k/validation_images/10214.jpg,data/flickr30k/validation_images/15825.jpg,data/flickr30k/validation_images/9724.jpg,data/flickr30k/validation_images/10947.jpg,data/flickr30k/validation_images/4906.jpg,,,
audit_031,Young boy throws a rock into the water.,data/flickr30k/validation_images/1155.jpg,data/flickr30k/validation_images/11293.jpg,data/flickr30k/validation_images/2605.jpg,data/flickr30k/validation_images/7610.jpg,data/flickr30k/validation_images/4280.jpg,,,
audit_032,A man with a bucket and a girl in a hat on the beach.,data/flickr30k/validation_images/12968.jpg,data/flickr30k/validation_images/6791.jpg,data/flickr30k/validation_images/16134.jpg,data/flickr30k/validation_images/3979.jpg,data/flickr30k/validation_images/29277.jpg,,,
audit_033,Three men looking out the door towards an area secured with Caution tape.,data/flickr30k/validation_images/628.jpg,data/flickr30k/validation_images/26609.jpg,data/flickr30k/validation_images/1052.jpg,data/flickr30k/validation_images/26811.jpg,data/flickr30k/validation_images/29111.jpg,data/flickr30k/validation_images/1716.jpg,,
audit_034,"Wearing identical necklaces, a woman and a man with a painted face embrace.",data/flickr30k/validation_images/10363.jpg,data/flickr30k/validation_images/6248.jpg,data/flickr30k/validation_images/22099.jpg,data/flickr30k/validation_images/8339.jpg,data/flickr30k/validation_images/25165.jpg,,,
audit_035,A mid-age women busy in making woolen sweaters sitting in her stall.,data/flickr30k/validation_images/27357.jpg,data/flickr30k/validation_images/12507.jpg,data/flickr30k/validation_images/17030.jpg,data/flickr30k/validation_images/26141.jpg,data/flickr30k/validation_images/4768.jpg,data/flickr30k/validation_images/16632.jpg,,
audit_036,A wide-eyed person brandishes an axe while wearing a fur hat and traditional medieval garb.,data/flickr30k/validation_images/27560.jpg,data/flickr30k/validation_images/16811.jpg,data/flickr30k/validation_images/11208.jpg,data/flickr30k/validation_images/29640.jpg,data/flickr30k/validation_images/1616.jpg,,,
audit_037,"2 females, 1 from germany and 1 from China, compete in a wrestling match on a mat.",data/flickr30k/validation_images/27717.jpg,data/flickr30k/validation_images/27217.jpg,data/flickr30k/validation_images/18956.jpg,data/flickr30k/validation_images/28087.jpg,data/flickr30k/validation_images/25571.jpg,data/flickr30k/validation_images/29365.jpg,,
audit_038,Two elderly women with gray hair engaging in conversation.,data/flickr30k/validation_images/17216.jpg,data/flickr30k/validation_images/12018.jpg,data/flickr30k/validation_images/6248.jpg,data/flickr30k/validation_images/4141.jpg,data/flickr30k/validation_images/18440.jpg,,,
audit_039,A team of soccer players is huddled and having a serious discussion.,data/flickr30k/validation_images/29803.jpg,data/flickr30k/validation_images/5479.jpg,data/flickr30k/validation_images/27571.jpg,data/flickr30k/validation_images/5516.jpg,data/flickr30k/validation_images/15616.jpg,,,
audit_040,A man is holding a cross with a photo of Jesus on it.,data/flickr30k/validation_images/15716.jpg,data/flickr30k/validation_images/29843.jpg,data/flickr30k/validation_images/19163.jpg,data/flickr30k/validation_images/27707.jpg,data/flickr30k/validation_images/12521.jpg,,,
audit_041,Sports fans are tailgating.,data/flickr30k/validation_images/22038.jpg,data/flickr30k/validation_images/4077.jpg,data/flickr30k/validation_images/5479.jpg,data/flickr30k/validation_images/22834.jpg,data/flickr30k/validation_images/25226.jpg,,,
audit_042,A man rides large waves on a wind sail.,data/flickr30k/validation_images/282.jpg,data/flickr30k/validation_images/11401.jpg,data/flickr30k/validation_images/5371.jpg,data/flickr30k/validation_images/10752.jpg,data/flickr30k/validation_images/29509.jpg,,,
audit_043,Several men walking past a tent notice a sign.,data/flickr30k/validation_images/15506.jpg,data/flickr30k/validation_images/14686.jpg,data/flickr30k/validation_images/6318.jpg,data/flickr30k/validation_images/20098.jpg,data/flickr30k/validation_images/26811.jpg,,,
audit_044,"Two young girls wearing hijabs stand in a dirt courtyard, one has her arms folded and looks away the other is staring into the camera with her hands on her hips.",data/flickr30k/validation_images/13597.jpg,data/flickr30k/validation_images/28990.jpg,data/flickr30k/validation_images/10244.jpg,data/flickr30k/validation_images/28787.jpg,data/flickr30k/validation_images/30369.jpg,,,
audit_045,A boy standing next to a desk in classroom.,data/flickr30k/validation_images/10746.jpg,data/flickr30k/validation_images/21371.jpg,data/flickr30k/validation_images/13332.jpg,data/flickr30k/validation_images/3175.jpg,data/flickr30k/validation_images/16655.jpg,,,
audit_046,A couple of industrial construction workers appear to be trying to place something on a crane.,data/flickr30k/validation_images/6557.jpg,data/flickr30k/validation_images/29609.jpg,data/flickr30k/validation_images/4734.jpg,data/flickr30k/validation_images/14210.jpg,data/flickr30k/validation_images/1520.jpg,data/flickr30k/validation_images/6542.jpg,,
audit_047,"Two Asian children, a boy and a girl, the girl looking squarely at the camera and the boy making a face.",data/flickr30k/validation_images/14199.jpg,data/flickr30k/validation_images/16412.jpg,data/flickr30k/validation_images/29277.jpg,data/flickr30k/validation_images/15633.jpg,data/flickr30k/validation_images/30385.jpg,data/flickr30k/validation_images/3969.jpg,,
audit_048,A dark man with glasses who is wearing a white shirt is sitting in the middle of small boxes that are filled with various materials.,data/flickr30k/validation_images/13261.jpg,data/flickr30k/validation_images/1365.jpg,data/flickr30k/validation_images/203.jpg,data/flickr30k/validation_images/29505.jpg,data/flickr30k/validation_images/16353.jpg,,,
audit_049,People in a group gathered smiling.,data/flickr30k/validation_images/12984.jpg,data/flickr30k/validation_images/11497.jpg,data/flickr30k/validation_images/14898.jpg,data/flickr30k/validation_images/20284.jpg,data/flickr30k/validation_images/7203.jpg,,,
audit_050,A small blond girl is holding a sandwich.,data/flickr30k/validation_images/20920.jpg,data/flickr30k/validation_images/16923.jpg,data/flickr30k/validation_images/16709.jpg,data/flickr30k/validation_images/15636.jpg,data/flickr30k/validation_images/7016.jpg,,,
audit_051,Man in a suit smoking a cigar and reading a paper walking on the street.,data/flickr30k/validation_images/27732.jpg,data/flickr30k/validation_images/19652.jpg,data/flickr30k/validation_images/12483.jpg,data/flickr30k/validation_images/19743.jpg,data/flickr30k/validation_images/20171.jpg,,,
audit_052,A biker doing a jump in a forest.,data/flickr30k/validation_images/13671.jpg,data/flickr30k/validation_images/15129.jpg,data/flickr30k/validation_images/21612.jpg,data/flickr30k/validation_images/16469.jpg,data/flickr30k/validation_images/282.jpg,,,
audit_053,"A boy and girl in black jumpsuits stand facing a girl in a pink jacket, with adults in the background.",data/flickr30k/validation_images/30177.jpg,data/flickr30k/validation_images/29884.jpg,data/flickr30k/validation_images/1271.jpg,data/flickr30k/validation_images/9174.jpg,data/flickr30k/validation_images/20478.jpg,data/flickr30k/validation_images/23953.jpg,,
audit_054,A person laying on a bench in front of a water feature.,data/flickr30k/validation_images/21478.jpg,data/flickr30k/validation_images/24905.jpg,data/flickr30k/validation_images/22712.jpg,data/flickr30k/validation_images/24217.jpg,data/flickr30k/validation_images/118.jpg,data/flickr30k/validation_images/25007.jpg,,
audit_055,A man is working at a construction site.,data/flickr30k/validation_images/1520.jpg,data/flickr30k/validation_images/26923.jpg,data/flickr30k/validation_images/10014.jpg,data/flickr30k/validation_images/18384.jpg,data/flickr30k/validation_images/6505.jpg,data/flickr30k/validation_images/6542.jpg,,
audit_056,A group of people are running in the cold.,data/flickr30k/validation_images/30420.jpg,data/flickr30k/validation_images/29215.jpg,data/flickr30k/validation_images/18854.jpg,data/flickr30k/validation_images/3821.jpg,data/flickr30k/validation_images/14430.jpg,,,
audit_057,A band is performing indoors.,data/flickr30k/validation_images/18126.jpg,data/flickr30k/validation_images/18618.jpg,data/flickr30k/validation_images/4561.jpg,data/flickr30k/validation_images/17212.jpg,data/flickr30k/validation_images/26268.jpg,,,
audit_058,An old man with long hair playing the trumpet.,data/flickr30k/validation_images/4561.jpg,data/flickr30k/validation_images/15710.jpg,data/flickr30k/validation_images/22291.jpg,data/flickr30k/validation_images/29843.jpg,data/flickr30k/validation_images/6063.jpg,data/flickr30k/validation_images/27707.jpg,,
audit_059,A young kid at the beach.,data/flickr30k/validation_images/1081.jpg,data/flickr30k/validation_images/10801.jpg,data/flickr30k/validation_images/23372.jpg,data/flickr30k/validation_images/5550.jpg,data/flickr30k/validation_images/16726.jpg,,,
audit_060,A dog running across a field with a ball in its mouth.,data/flickr30k/validation_images/7156.jpg,data/flickr30k/validation_images/14001.jpg,data/flickr30k/validation_images/13351.jpg,data/flickr30k/validation_images/13094.jpg,data/flickr30k/validation_images/5062.jpg,,,
audit_061,A woman with black hair wearing a black and white polka-dot dress is singing into a microphone.,data/flickr30k/validation_images/7575.jpg,data/flickr30k/validation_images/2527.jpg,data/flickr30k/validation_images/18692.jpg,data/flickr30k/validation_images/11570.jpg,data/flickr30k/validation_images/28084.jpg,,,
audit_062,The kids are running a relay race.,data/flickr30k/validation_images/16434.jpg,data/flickr30k/validation_images/3375.jpg,data/flickr30k/validation_images/29215.jpg,data/flickr30k/validation_images/29105.jpg,data/flickr30k/validation_images/12812.jpg,data/flickr30k/validation_images/16376.jpg,,
audit_063,A boy pointing in a direction on a dirt road.,data/flickr30k/validation_images/2749.jpg,data/flickr30k/validation_images/23785.jpg,data/flickr30k/validation_images/15574.jpg,data/flickr30k/validation_images/19530.jpg,data/flickr30k/validation_images/25866.jpg,,,
audit_064,"Two boxers, one in red and one in blue, strike each other in the face with their left hands.",data/flickr30k/validation_images/1933.jpg,data/flickr30k/validation_images/608.jpg,data/flickr30k/validation_images/11929.jpg,data/flickr30k/validation_images/28292.jpg,data/flickr30k/validation_images/27655.jpg,,,
audit_065,A young boy throws a big rock into a body of water.,data/flickr30k/validation_images/11293.jpg,data/flickr30k/validation_images/14938.jpg,data/flickr30k/validation_images/7610.jpg,data/flickr30k/validation_images/1155.jpg,data/flickr30k/validation_images/4280.jpg,,,
audit_066,A person in a dark top and light pants walks past a white building.,data/flickr30k/validation_images/12483.jpg,data/flickr30k/validation_images/22818.jpg,data/flickr30k/validation_images/25295.jpg,data/flickr30k/validation_images/22152.jpg,data/flickr30k/validation_images/19905.jpg,data/flickr30k/validation_images/21639.jpg,,
audit_067,A rodeo clown ties a rope around an older rodeo clown as he sits in the dirt.,data/flickr30k/validation_images/13420.jpg,data/flickr30k/validation_images/14998.jpg,data/flickr30k/validation_images/6542.jpg,data/flickr30k/validation_images/28046.jpg,data/flickr30k/validation_images/6377.jpg,data/flickr30k/validation_images/14065.jpg,,
audit_068,A firefighter standing proud in front of his truck.,data/flickr30k/validation_images/4480.jpg,data/flickr30k/validation_images/511.jpg,data/flickr30k/validation_images/6767.jpg,data/flickr30k/validation_images/27394.jpg,data/flickr30k/validation_images/6505.jpg,data/flickr30k/validation_images/2147.jpg,,
audit_069,"Something seems to be better than nothing as a young adult male plays a violin near the entrance of a store with his violin case open ready to accept the ""tips"" of his fans.",data/flickr30k/validation_images/22187.jpg,data/flickr30k/validation_images/4561.jpg,data/flickr30k/validation_images/27707.jpg,data/flickr30k/validation_images/16541.jpg,data/flickr30k/validation_images/17212.jpg,data/flickr30k/validation_images/29640.jpg,,
audit_070,"A man in a gray cap, a pink tank top and short skirt, pink-and-black striped socks, and boots juggles knives in front of a brick building whose sign reads ""The Pump Room"" while onlookers watch.",data/flickr30k/validation_images/19652.jpg,data/flickr30k/validation_images/462.jpg,data/flickr30k/validation_images/15800.jpg,data/flickr30k/validation_images/22747.jpg,data/flickr30k/validation_images/10885.jpg,data/flickr30k/validation_images/6533.jpg,,
audit_071,A crowd loiters near the start of a marathon.,data/flickr30k/validation_images/20098.jpg,data/flickr30k/validation_images/30420.jpg,data/flickr30k/validation_images/22216.jpg,data/flickr30k/validation_images/15638.jpg,data/flickr30k/validation_images/18854.jpg,data/flickr30k/validation_images/12879.jpg,,
audit_072,A man with prosthetic legs just finished a run.,data/flickr30k/validation_images/7900.jpg,data/flickr30k/validation_images/1516.jpg,data/flickr30k/validation_images/9985.jpg,data/flickr30k/validation_images/27560.jpg,data/flickr30k/validation_images/27834.jpg,data/flickr30k/validation_images/2388.jpg,,
audit_073,A woman pushing a coffee cart through a plaza.,data/flickr30k/validation_images/20598.jpg,data/flickr30k/validation_images/25007.jpg,data/flickr30k/validation_images/6143.jpg,data/flickr30k/validation_images/22916.jpg,data/flickr30k/validation_images/1943.jpg,data/flickr30k/validation_images/4860.jpg,,
audit_074,Men dressed in costumes take part in a performance as a crowd watches.,data/flickr30k/validation_images/5304.jpg,data/flickr30k/validation_images/19141.jpg,data/flickr30k/validation_images/2089.jpg,data/flickr30k/validation_images/28046.jpg,data/flickr30k/validation_images/18813.jpg,data/flickr30k/validation_images/4917.jpg,,
audit_075,A young woman wearing a beautiful white ensemble looks flustered.,data/flickr30k/validation_images/19253.jpg,data/flickr30k/validation_images/9273.jpg,data/flickr30k/validation_images/20495.jpg,data/flickr30k/validation_images/462.jpg,data/flickr30k/validation_images/18504.jpg,data/flickr30k/validation_images/21179.jpg,,
audit_076,A woman in blue about to enter a brown fence gateway in a park,data/flickr30k/validation_images/20711.jpg,data/flickr30k/validation_images/20361.jpg,data/flickr30k/validation_images/422.jpg,data/flickr30k/validation_images/25007.jpg,data/flickr30k/validation_images/16917.jpg,data/flickr30k/validation_images/27643.jpg,,
audit_077,A singer performing along with the crowd.,data/flickr30k/validation_images/3304.jpg,data/flickr30k/validation_images/15638.jpg,data/flickr30k/validation_images/4917.jpg,data/flickr30k/validation_images/1103.jpg,data/flickr30k/validation_images/15547.jpg,data/flickr30k/validation_images/18127.jpg,,
audit_078,There is a cafe on a street corner with an oval painting on the corner of its building.,data/flickr30k/validation_images/20198.jpg,data/flickr30k/validation_images/11827.jpg,data/flickr30k/validation_images/16917.jpg,data/flickr30k/validation_images/15291.jpg,data/flickr30k/validation_images/23693.jpg,data/flickr30k/validation_images/21951.jpg,,
audit_079,The man is playing with his Star Wars light sword.,data/flickr30k/validation_images/9774.jpg,data/flickr30k/validation_images/28435.jpg,data/flickr30k/validation_images/12521.jpg,data/flickr30k/validation_images/2522.jpg,data/flickr30k/validation_images/27560.jpg,data/flickr30k/validation_images/26268.jpg,,
audit_080,Two asian children grab hands while in a piece of playground equipment.,data/flickr30k/validation_images/21625.jpg,data/flickr30k/validation_images/30177.jpg,data/flickr30k/validation_images/4011.jpg,data/flickr30k/validation_images/13654.jpg,data/flickr30k/validation_images/19165.jpg,data/flickr30k/validation_images/30369.jpg,,
audit_081,A man holding a skateboard against a blue sky with white clouds with buildings in the background.,data/flickr30k/validation_images/25295.jpg,data/flickr30k/validation_images/24232.jpg,data/flickr30k/validation_images/3434.jpg,data/flickr30k/validation_images/19652.jpg,data/flickr30k/validation_images/27478.jpg,data/flickr30k/validation_images/13760.jpg,,
audit_082,An old man wearing a hat stands outside a shop door.,data/flickr30k/validation_images/27732.jpg,data/flickr30k/validation_images/27101.jpg,data/flickr30k/validation_images/22261.jpg,data/flickr30k/validation_images/19652.jpg,data/flickr30k/validation_images/22152.jpg,data/flickr30k/validation_images/11208.jpg,,
audit_083,A performer holds a microphone out to a member of a crowd.,data/flickr30k/validation_images/4917.jpg,data/flickr30k/validation_images/18618.jpg,data/flickr30k/validation_images/26268.jpg,data/flickr30k/validation_images/3304.jpg,data/flickr30k/validation_images/1103.jpg,data/flickr30k/validation_images/18127.jpg,,
audit_084,Men on a canoe ride in the river.,data/flickr30k/validation_images/8115.jpg,data/flickr30k/validation_images/25762.jpg,data/flickr30k/validation_images/6110.jpg,data/flickr30k/validation_images/16221.jpg,data/flickr30k/validation_images/3836.jpg,data/flickr30k/validation_images/1212.jpg,,
audit_085,A man in a red and white striped shirts sits on a stool at a hotdog stand.,data/flickr30k/validation_images/16664.jpg,data/flickr30k/validation_images/6143.jpg,data/flickr30k/validation_images/900.jpg,data/flickr30k/validation_images/16632.jpg,data/flickr30k/validation_images/20401.jpg,data/flickr30k/validation_images/30040.jpg,,
audit_086,This is a young man getting some airtime on his skateboard.,data/flickr30k/validation_images/27937.jpg,data/flickr30k/validation_images/12280.jpg,data/flickr30k/validation_images/9985.jpg,data/flickr30k/validation_images/14585.jpg,data/flickr30k/validation_images/24314.jpg,data/flickr30k/validation_images/22811.jpg,,
audit_087,"The people are dressed in heavy layered clothing, and are motioning together.",data/flickr30k/validation_images/23998.jpg,data/flickr30k/validation_images/10963.jpg,data/flickr30k/validation_images/22099.jpg,data/flickr30k/validation_images/4917.jpg,data/flickr30k/validation_images/5304.jpg,data/flickr30k/validation_images/29492.jpg,,
audit_088,Three woman are sitting in front of a decorated tree.,data/flickr30k/validation_images/1478.jpg,data/flickr30k/validation_images/5711.jpg,data/flickr30k/validation_images/21147.jpg,data/flickr30k/validation_images/20853.jpg,data/flickr30k/validation_images/13347.jpg,data/flickr30k/validation_images/8194.jpg,,
audit_089,A half naked man is sleeping on his chair outdoors.,data/flickr30k/validation_images/15296.jpg,data/flickr30k/validation_images/377.jpg,data/flickr30k/validation_images/21478.jpg,data/flickr30k/validation_images/25731.jpg,data/flickr30k/validation_images/17243.jpg,data/flickr30k/validation_images/4743.jpg,,
audit_090,A large crowd is standing around the start line.,data/flickr30k/validation_images/20098.jpg,data/flickr30k/validation_images/2089.jpg,data/flickr30k/validation_images/15638.jpg,data/flickr30k/validation_images/6278.jpg,data/flickr30k/validation_images/12879.jpg,data/flickr30k/validation_images/8777.jpg,,
audit_091,A man and two kids standing in front of an ancient building.,data/flickr30k/validation_images/15291.jpg,data/flickr30k/validation_images/4054.jpg,data/flickr30k/validation_images/23953.jpg,data/flickr30k/validation_images/24251.jpg,data/flickr30k/validation_images/17956.jpg,data/flickr30k/validation_images/23598.jpg,,
audit_092,People are gathered at an event in the city.,data/flickr30k/validation_images/17645.jpg,data/flickr30k/validation_images/8777.jpg,data/flickr30k/validation_images/13311.jpg,data/flickr30k/validation_images/22185.jpg,data/flickr30k/validation_images/26316.jpg,data/flickr30k/validation_images/1740.jpg,,
audit_093,A group of people in dark clothing gathered around a man in a black shirt.,data/flickr30k/validation_images/12984.jpg,data/flickr30k/validation_images/14898.jpg,data/flickr30k/validation_images/15506.jpg,data/flickr30k/validation_images/4917.jpg,data/flickr30k/validation_images/5304.jpg,data/flickr30k/validation_images/10741.jpg,,
audit_094,A Scottish band playing in a park.,data/flickr30k/validation_images/18813.jpg,data/flickr30k/validation_images/7723.jpg,data/flickr30k/validation_images/9154.jpg,data/flickr30k/validation_images/23283.jpg,data/flickr30k/validation_images/6055.jpg,data/flickr30k/validation_images/6582.jpg,,
audit_095,A man in a white shirt plays the violin on the streets.,data/flickr30k/validation_images/19163.jpg,data/flickr30k/validation_images/15710.jpg,data/flickr30k/validation_images/22187.jpg,data/flickr30k/validation_images/21091.jpg,data/flickr30k/validation_images/15716.jpg,data/flickr30k/validation_images/15800.jpg,,
audit_096,AA woman in a stroller is walking outside pushing a child in a stroller.,data/flickr30k/validation_images/20838.jpg,data/flickr30k/validation_images/22872.jpg,data/flickr30k/validation_images/19175.jpg,data/flickr30k/validation_images/23968.jpg,data/flickr30k/validation_images/22642.jpg,data/flickr30k/validation_images/843.jpg,,
audit_097,Two boys in a tent smile for the camera.,data/flickr30k/validation_images/26186.jpg,data/flickr30k/validation_images/21336.jpg,data/flickr30k/validation_images/6257.jpg,data/flickr30k/validation_images/20165.jpg,data/flickr30k/validation_images/12075.jpg,data/flickr30k/validation_images/7843.jpg,,
audit_098,Two people having a discussion outside.,data/flickr30k/validation_images/12202.jpg,data/flickr30k/validation_images/19688.jpg,data/flickr30k/validation_images/19905.jpg,data/flickr30k/validation_images/26841.jpg,data/flickr30k/validation_images/4141.jpg,data/flickr30k/validation_images/21671.jpg,,
